FTR Path,TechID,Order 1 Complete Date,Order 2 Complete Date,Sum of Days Between,Order 1 Job Type,Order 2 Job Type,Order 1 Completion Code,Order 2 Completion Code,Order 1 TIH,Order 2 TIH
TC-TC,6887,7/11/2026,7/23/2026,12,9W - VID OUT,6T - RPT TC,T24 - REPLACE CPE,H22 - INT-GW MTA RPRV,107,25
TC-TC,6840,7/5/2026,7/27/2026,22,9H - HSD OUT,9H - HSD OUT,U14 - CUST REF ENTRY,DRP - DROP UG DROP RP,0,110
TC-TC,I0HJ,7/25/2026,7/27/2026,2,AW - VIDEO TC,9W - VID OUT,U11 - CUST HM-NO ACC,T24 - REPLACE CPE,26,104
TC-TC,6887,7/21/2026,7/26/2026,5,6T - RPT TC,2I - CHR TC,T34 - $CUST EQUP PRBM,U31 - RTM SVC AFF,22,93
TC-TC,6887,7/21/2026,7/25/2026,4,9H - HSD OUT,6T - RPT TC,T24 - REPLACE CPE,O01 - DRP-CONN REPL,46,59
TC-TC,6887,7/25/2026,7/26/2026,1,9H - HSD OUT,9H - HSD OUT,U11 - CUST HM-NO ACC,U44 - REFER TO UG,0,107
TC-TC,II96,7/7/2026,7/27/2026,20,9H - HSD OUT,6T - RPT TC,U44 - REFER TO UG,T34 - $CUST EQUP PRBM,100,39
Install-TC,6855,7/1/2026,7/23/2026,22,R2 - EPON SFU NC,HD - EPON SFU RPT TC,CAO - CP AS ORDERED,T24 - REPLACE CPE,217,55
Install-TC,6946,7/11/2026,7/27/2026,16,R2 - EPON SFU NC,HD - EPON SFU RPT TC,CAO - CP AS ORDERED,T24 - REPLACE CPE,245,2
Install-TC,6946,7/13/2026,7/23/2026,10,R2 - EPON SFU NC,HD - EPON SFU RPT TC,CAO - CP AS ORDERED,T25 - NON CPE SWAP,54,1
Install-TC,6855,7/16/2026,7/27/2026,11,R2 - EPON SFU NC,HD - EPON SFU RPT TC,CAO - CP AS ORDERED,T25 - NON CPE SWAP,131,46
TC-TC,II96,7/18/2026,7/26/2026,8,9H - HSD OUT,6T - RPT TC,U31 - RTM SVC AFF,T01 - DRP-OH DRP RPL,24,69
Install-TC,6886,7/16/2026,7/22/2026,6,2G - ALL IP COS,6T - RPT TC,CAO - CP AS ORDERED,T25 - NON CPE SWAP,33,83
TC-TC,I08V,7/14/2026,7/23/2026,9,9H - HSD OUT,6T - RPT TC,O01 - DRP-CONN REPL,E03 - $CUST ED,22,13
TC-TC,II96,7/25/2026,7/27/2026,2,1A - DEFERRED TC,6T - RPT TC,T34 - $CUST EQUP PRBM,T24 - REPLACE CPE,40,102
Install-TC,I08V,7/16/2026,7/23/2026,7,N9 - TECH RECOVERY,6T - RPT TC,FSI - FS GSK NOT ATTEMPTED,T25 - NON CPE SWAP,123,77
TC-TC,6845,7/19/2026,7/23/2026,4,9H - HSD OUT,6T - RPT TC,T12 - DRP-GND BLK RPL,U31 - RTM SVC AFF,55,122
Install-TC,I08V,6/23/2026,7/23/2026,30,09 - HSD RC,6T - RPT TC,CAO - CP AS ORDERED,AM1 - AMP LEGCY IDFD,86,30
Install-TC,6840,7/20/2026,7/24/2026,4,09 - HSD RC,6T - RPT TC,CAO - CP AS ORDERED,T12 - DRP-GND BLK RPL,61,44
TC-TC,I0HJ,7/21/2026,7/22/2026,1,9H - HSD OUT,6T - RPT TC,T24 - REPLACE CPE,T24 - REPLACE CPE,195,66
TC-TC,I0I9,7/15/2026,7/23/2026,8,9W - VID OUT,6T - RPT TC,AM9 - AMP REMOVED AMP,T25 - NON CPE SWAP,64,28
TC-TC,6875,7/21/2026,7/23/2026,2,9W - VID OUT,6T - RPT TC,T34 - $CUST EQUP PRBM,U11 - CUST HM-NO ACC,14,69
Install-TC,I0C6,7/11/2026,7/22/2026,11,03 - HSD NC,6T - RPT TC,CAO - CP AS ORDERED,T25 - NON CPE SWAP,85,50
Install-TC,I0I9,7/20/2026,7/24/2026,4,N9 - TECH RECOVERY,6T - RPT TC,FSB - FS DEGRADED DROP,T24 - REPLACE CPE,164,14
TC-TC,I0A8,7/22/2026,7/23/2026,1,9H - HSD OUT,9H - HSD OUT,U11 - CUST HM-NO ACC,AM9 - AMP REMOVED AMP,45,81
TC-TC,6875,7/20/2026,7/24/2026,4,9H - HSD OUT,6T - RPT TC,T34 - $CUST EQUP PRBM,T34 - $CUST EQUP PRBM,63,100
TC-TC,I0A8,7/26/2026,7/27/2026,1,9H - HSD OUT,9H - HSD OUT,U12 - CUST NOT HOME,U12 - CUST NOT HOME,35,14
TC-TC,I0A8,7/25/2026,7/26/2026,1,AO - HSD TC,6T - RPT TC,T25 - NON CPE SWAP,T34 - $CUST EQUP PRBM,12,19
TC-TC,6875,7/5/2026,7/25/2026,20,AO - HSD TC,6T - RPT TC,U31 - RTM SVC AFF,T34 - $CUST EQUP PRBM,57,43
TC-TC,I05L,7/25/2026,7/26/2026,1,9H - HSD OUT,9H - HSD OUT,U11 - CUST HM-NO ACC,U12 - CUST NOT HOME,94,14
