FTR Path,TechID,Order 1 Complete Date,Order 2 Complete Date,Sum of Days Between,Order 1 Job Type,Order 2 Job Type,Order 1 Completion Code,Order 2 Completion Code,Order 1 TIH,Order 2 TIH
TC-TC,7034,6/27/2026,6/30/2026,3,9H - HSD OUT,6T - RPT TC,O01 - DRP-CONN REPL,T24 - REPLACE CPE,57,39
TC-TC,7034,6/20/2026,6/22/2026,2,AO - HSD TC,6T - RPT TC,O01 - DRP-CONN REPL,T24 - REPLACE CPE,116,74
TC-TC,7034,6/30/2026,7/14/2026,14,9H - HSD OUT,6T - RPT TC,O01 - DRP-CONN REPL,T53 - $IW-CABLE RPL,48,208
TC-TC,7122,6/5/2026,6/25/2026,20,GU - ALL IP TC,6T - RPT TC,T24 - REPLACE CPE,AM9 - AMP REMOVED AMP,28,31
TC-TC,I06I,6/15/2026,6/26/2026,11,9H - HSD OUT,6T - RPT TC,T24 - REPLACE CPE,T12 - DRP-GND BLK RPL,23,44
TC-TC,I06I,7/12/2026,7/13/2026,1,6M - CDV OUT,6T - RPT TC,T24 - REPLACE CPE,U12 - CUST NOT HOME,23,11
TC-TC,I06I,6/28/2026,7/3/2026,5,9W - VID OUT,6T - RPT TC,T24 - REPLACE CPE,T24 - REPLACE CPE,37,51
TC-TC,I06I,6/21/2026,6/23/2026,2,9H - HSD OUT,6T - RPT TC,T24 - REPLACE CPE,T12 - DRP-GND BLK RPL,45,40
TC-TC,7122,6/10/2026,7/9/2026,29,9W - VID OUT,6T - RPT TC,O01 - DRP-CONN REPL,T25 - NON CPE SWAP,38,51
Install-TC,I08X,6/11/2026,6/23/2026,12,09 - HSD RC,6T - RPT TC,CAO - CP AS ORDERED,T25 - NON CPE SWAP,75,40
TC-TC,I06I,6/22/2026,6/25/2026,3,AW - VIDEO TC,6T - RPT TC,T24 - REPLACE CPE,T25 - NON CPE SWAP,63,38
TC-TC,7077,6/24/2026,7/2/2026,8,9H - HSD OUT,6T - RPT TC,O01 - DRP-CONN REPL,T25 - NON CPE SWAP,77,34
TC-TC,I06I,6/12/2026,7/6/2026,24,9H - HSD OUT,6T - RPT TC,T24 - REPLACE CPE,O01 - DRP-CONN REPL,31,103
TC-TC,I06I,6/5/2026,6/28/2026,23,9W - VID OUT,6T - RPT TC,T24 - REPLACE CPE,T74 - $INT-HN CONFIG,40,65
TC-TC,I06I,6/20/2026,7/3/2026,13,9H - HSD OUT,6T - RPT TC,T24 - REPLACE CPE,T05 - DRP-CUT DRP RPR,20,68
TC-TC,I06I,6/8/2026,6/29/2026,21,9H - HSD OUT,AW - VIDEO TC,U12 - CUST NOT HOME,T53 - $IW-CABLE RPL,14,98
