FTR Path,TechID,Order 1 Complete Date,Order 2 Complete Date,Sum of Days Between,Order 1 Job Type,Order 2 Job Type,Order 1 Completion Code,Order 2 Completion Code,Order 1 TIH,Order 2 TIH
Install-TC,4888,6/25/2026,7/4/2026,9,09 - HSD RC,6T - RPT TC,CAO - CP AS ORDERED,T24 - REPLACE CPE,51,60
TC-TC,IE49,6/7/2026,7/3/2026,26,9H - HSD OUT,6T - RPT TC,DRP - DROP UG DROP RP,T12 - DRP-GND BLK RPL,80,87
TC-TC,IE49,6/21/2026,6/25/2026,4,9H - HSD OUT,6T - RPT TC,T25 - NON CPE SWAP,T24 - REPLACE CPE,100,77
SRO-TC,4888,6/16/2026,7/7/2026,21,PR - PROACTIVE XIT-CF,9H - HSD OUT,LCO - LOOSE F CONN,T01 - DRP-OH DRP RPL,45,102
TC-TC,IE49,7/7/2026,7/14/2026,7,9H - HSD OUT,9H - HSD OUT,U12 - CUST NOT HOME,T22 - WRONG RATE CODE,6,45
TC-TC,IJ05,5/25/2026,6/24/2026,30,9H - HSD OUT,6T - RPT TC,T25 - NON CPE SWAP,T25 - NON CPE SWAP,30,31
TC-TC,4882,6/22/2026,6/30/2026,8,AO - HSD TC,6T - RPT TC,T24 - REPLACE CPE,T25 - NON CPE SWAP,25,34
Install-TC,4882,6/23/2026,7/2/2026,9,10 - VID RC,6T - RPT TC,CAO - CP AS ORDERED,T24 - REPLACE CPE,83,92
TC-TC,I0EG,6/30/2026,7/6/2026,6,AW - VIDEO TC,6T - RPT TC,T25 - NON CPE SWAP,T25 - NON CPE SWAP,27,77
TC-TC,I0EG,6/11/2026,6/27/2026,16,9H - HSD OUT,9H - HSD OUT,0CA - COC HAZARD ESL,O01 - DRP-CONN REPL,7,84
TC-TC,I0EG,6/20/2026,6/27/2026,7,9H - HSD OUT,6T - RPT TC,T13 - DRP-SPLTTR RPLC,T24 - REPLACE CPE,61,39
TC-TC,I0EG,6/28/2026,6/30/2026,2,9H - HSD OUT,6T - RPT TC,E03 - $CUST ED,T25 - NON CPE SWAP,29,118
TC-TC,I0EG,7/4/2026,7/9/2026,5,AW - VIDEO TC,6T - RPT TC,T25 - NON CPE SWAP,U14 - CUST REF ENTRY,28,19
TC-TC,I0EG,7/4/2026,7/10/2026,6,WR - WIRELESS XI TC,6T - RPT TC,T13 - DRP-SPLTTR RPLC,T12 - DRP-GND BLK RPL,28,58
TC-TC,I0EG,6/23/2026,6/27/2026,4,G1 - GW SPEED TEST FAIL,6T - RPT TC,T25 - NON CPE SWAP,T24 - REPLACE CPE,95,56
