TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%
6837,104,65,100,87.5,90.2
6840,84,42,100,100,87.3
6845,105,51,100,92.9,97.8
6855,165,86,0,100,96.3
6858,74,2,100,0,33.3
6869,33,13,100,100,93.3
6875,63,27,100,100,92.2
6886,141,97,100,92.9,94.5
6887,107,43,100,75,89.4
6898,128,67,100,100,91.8
6937,78,62,100,91.7,98.6
6946,112,66,100,84.2,89.4
6948,123,105,100,100,98.2
6977,109,77,98.9,100,96.9
6984,79,46,100,76.9,94.1
7010,10,9,100,100,60
I00V,103,41,66.7,100,91.1
I02A,38,25,96.2,100,97.1
I196,13,3,87.5,100,100
I758,13,9,100,100,100
JComm Totals,1682,936,99.4,94.9,93.4
