TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%,48Hr Contact Rate%
6837,104,56,100,100,97.2,8.5
6840,80,73,97.2,100,97.4,11.5
6845,72,42,100,100,91.2,8.8
6855,62,29,0,100,97.2,5.6
6875,56,43,100,100,89.4,8.5
6886,99,66,98.6,100,95.2,5.7
6887,68,35,100,66.7,86.4,6.3
6898,76,62,100,85.7,95.2,7.9
6946,75,28,100,100,85.4,7.3
6948,90,67,100,100,97.5,4.9
6977,81,56,98.3,100,96,6.7
6984,82,38,0,100,90.2,9.6
I00V,73,30,100,100,84.2,18.4
I04O,23,23,89.5,100,87,0
I05L,24,24,68.4,100,87.5,16.7
I05X,34,33,100,100,97,9.1
I08V,78,34,98.3,100,97.3,1.3
I758,34,5,100,0,84.6,0
II96,77,70,100,100,96.1,6.5
JComm Totals,1288,814,98.1,97.4,93.5,7.4
