TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%,48Hr Contact Rate%
7006,118,31,100,100,89.6,5.2
7026,99,70,100,85.7,96.8,6.3
7034,114,20,100,70.6,96.1,5.7
7077,142,57,100,100,94,9.8
7080,118,38,100,85.7,87.2,22.2
7102,84,56,100,100,95.6,5.9
7122,136,45,100,91.7,92.6,10.9
I03V,22,9,100,100,88.2,9.1
I06I,236,73,100,75,91,11.4
I08X,143,61,100,94.4,88.3,10.9
I0E3,128,63,98,83.3,91.8,6.2
I0E7,150,50,100,45.5,90,12.5
ID70,150,101,100,87.5,95.9,4.7
IK01,164,95,100,89.5,94.2,8.9
Freedom Totals,1804,769,99.9,85.9,92.4,9.4
