TechId,Total Jobs,Installs,ToolUsage,tNPS Rate,FTR%,48Hr Contact Rate%
7006,68,29,100,83.3,88.1,11.1
7026,104,66,100,100,93.1,6.9
7034,66,17,100,100,83.6,6.6
7077,84,32,100,100,92.4,6.3
7080,45,28,100,77.8,77.1,13.9
7102,40,38,100,100,92.3,0
7122,65,23,100,100,88.2,16.4
I03V,54,23,100,100,95.6,6.2
I06I,145,53,98.9,71.4,88.5,12.2
I08X,103,37,96.3,90,92.9,12
I0E7,64,17,94.1,100,82.6,14
ID70,92,49,96.9,100,88.5,8
IK01,103,66,98.8,84.6,87.8,10
Freedom Totals,1033,478,98.7,92.5,89.2,9.7
