Response Date,SMS tNPS,Reason for score,Tech ID
7/16/2026 12:55,10,,7026
7/16/2026 11:05,8,,7122
7/16/2026 10:20,10,technician was friendly and his service was excellent,IK01
7/16/2026 10:05,10,1,IK01
7/16/2026 10:05,10,,I08X
7/16/2026 8:20,10,"my technician spent the time necessary to be sure my system was working, gave instructions on what to do later. he was well mannered and kind",I06I
7/16/2026 6:50,10,,7102
7/15/2026 15:05,9,platinum member here!,7080
7/15/2026 14:30,10,1,7080
7/15/2026 14:05,10,tech was very polite & professional!  he listened to my explanation of events & recognized exactly what to do to restart my service!  had the part in his van & even showed me some details to make my programs work better!!!  excellent representation for xfinity service!!,7006
7/15/2026 13:05,10,"yes, i could tell you that the technician that was at the home was extremely professional issue that would\u2019ve held service installation up. he was able to reach out to his supervisor and get clear instructions on how to go about the challenges we overcame and we completed the install beautifully.",I0E7
7/15/2026 12:50,10,"arrived on time, set up everything in a timely manner & explained everything to my understanding",7122
7/15/2026 12:10,10,the technician was very helpful and knowledgeable.,7006
7/15/2026 12:10,10,he was on time and it went well.,7034
7/15/2026 11:10,10,"he was on time, very professional and took care of my problem quickly",I08X
7/15/2026 10:10,10,the technician was very nice and very knowledgeable,7034
7/15/2026 8:05,10,"because this young man was very polite, knew what he was doing , answered all our questions and was very knowledgeable about his job. his name was robert and he was one of the best i ever had come out to do his job.",7034
7/14/2026 16:25,8,too long of a time frame to have to wait for a technician come out. i was without internet and tv for 4 days,7034
7/14/2026 15:30,10,,7077
7/14/2026 14:25,10,1,7080
7/14/2026 9:10,9,,I0E3
7/14/2026 8:05,10,,7077
7/14/2026 8:05,10,,I06I
7/13/2026 15:10,10,1,IK01
7/13/2026 12:35,10,"answered 10 because the tech was on time and he was super helpful and patient , very friendly and professional",I0E3
7/13/2026 12:10,10,"the technician, eve, was very personable as well as professional. i felt very comfortable with him explaining to me what my dilemma was here.",I0E7
7/13/2026 11:10,10,the technician was on time.  very knowledgeable and fast with his work.,ID70
7/13/2026 10:45,0,"i got this tv account for my 88 year old mom who lived in independent living facility. due to a power outage she had no tv for 2 1/2 weeks with calls to infinity saying outage don\u2019t ask for tech they can\u2019t help you. on thursday july 9 i received a message saying the outage in the area was cleared. i called to see what i needed to do to get service and was denied assistance because my mother was not with me. really just to fix your problem. on friday i got a tech on the phone who worked with us for 1 hour and still no service bye said he\u2019d send a tech it took till monday but a tech showed up. he walked in looked at the tv and said there was nothing he could do and left. 5 mins. i called and lodged a complaint the supervisor sent him back. after approximately 35 mins and new box like magic the tv worked. the tech got in the phone and told me a new box was installed and something they did at the office made it work. why was this not done at the first visit, why did i have to call and complain to get him back to do what should have been done the first time. i expect the bill to be adjusted and was told it would be. it\u2019s not just your tech it\u2019s the whole service. thank god i have verizon and if i could get that for my mom i would",I0E7
7/13/2026 10:05,10,arrived when they said he would and he knew right away what the problem was and solved it very quickly.,7034
7/13/2026 9:15,10,,7006
7/13/2026 6:55,5,xfinity has been very expensive our cable goes out a lot because we lose electric power in our area . also there is never a deal to lower the price even when you call really thinking about switching carriers at this point the gentlemen was great that came very nice seemed knowledgeable,I0E7
7/11/2026 16:20,10,"professional, informative and fixed everything!",7077
7/11/2026 15:45,10,the technician was knowledgeable and persistent. one solution did not work he promptly tried the next method.  he went through more than several problem solving techniques with no delay or complaints before finding the solution. he even double checked the connection to make sure certain the issue was resolved.  \uD83D\uDC4D\uD83C\uDFFE\uD83D\uDC4D\uD83C\uDFFE on behalf of the technician.  great job,I0E3
7/11/2026 15:00,5,because i had to wait 5 days before a tech could come.,7034
7/11/2026 14:05,9,he's very punctual.he was there really before time he was very efficient.he cleaned up after so the customer service was awesome,7102
7/11/2026 12:05,10,he was very polite and knowledgeable. he was very professional and he knew just what the issue was and resolved it,7102
7/11/2026 12:05,10,"he was on time he asked about the booties for his shoes, very polite and professional",7034
7/11/2026 11:10,10,technician robert did a great job.  replaced cables and new cable box,7034
7/11/2026 10:25,10,the technician spoke highly of xfinity,IK01
7/11/2026 10:10,2,0,IK01
7/11/2026 9:50,10,"the technician, michael was professional, efficient & knowledgeable.  fixed problem in a timely manner.",ID70
7/10/2026 13:10,10,"efficient, professional, cleared the remaining cables",IK01
7/10/2026 11:55,10,"he was extremely knowledgeable, friendly, and helpful",I0E7
7/10/2026 11:05,10,,I08X
7/10/2026 9:05,10,10,7102
7/9/2026 17:15,10,1,IK01
7/9/2026 16:05,10,he\u2019s nice and he do good job.,7080
7/9/2026 15:50,10,1,7006
7/9/2026 14:30,10,1,7077
7/9/2026 14:20,9,1,I0E3
7/9/2026 13:40,10,,I08X
7/9/2026 12:50,10,1,7077
7/9/2026 10:15,10,,I0E3
7/9/2026 8:05,10,excellent technician,I08X
7/8/2026 17:00,10,"eli , very knowledgeable and efficient 10",I06I
7/8/2026 15:15,8,"michael was terrific, i didn\u2019t give a 10 because i don\u2019t find comcast to be very reliable with service",ID70
7/8/2026 14:35,10,the technician replaced our cables and now the internet is working much faster!  i am pleased.,I06I
7/8/2026 12:35,10,,7102
7/8/2026 8:20,10,1,7077
7/8/2026 5:55,10,"the reason i answered 10 was due to your technician  robert markley tech number 7034  he was very knowledgeable respectful and checked our equipment so that all was up to dateyou should have more technician like himalso, i have been with xfinity 30 plus years and have been satisfied with your service",7034
