Response Date,SMS tNPS,Reason for score,Tech ID
7/16/2026 8:05,10,good service,I0EG
7/14/2026 11:10,10,tech nathan did an awesome job very professional and caring of our needs even crawled in space to replace cable,IE49
7/14/2026 9:15,10,very personable and very much knowledgeable answered all my questions and knew his job check every possible problem very good job,I0EG
7/13/2026 12:10,10,he was a very knowledgeable tech.  he fixed my issue.,4882
7/13/2026 10:50,10,friendly,4882
7/12/2026 11:50,10,my technician went \u201Cabove and beyond\u201D with checking and testing my service. outstanding.,I0EG
7/12/2026 8:55,10,caleb was kind and respectful and made sure i understood his plan and answered all of my questions,I0EG
7/11/2026 5:35,10,"i\u2019ve had several technicians here for a chronic problem, and the latest tech was outstanding! very friendly and seemed to really care about solving my issues! he was the best",I0EG
7/10/2026 13:05,10,the technician seemed very knowledgeable.,I0EG
7/10/2026 12:05,10,"the technician went above and beyond. was courteous, prompt, knowledgeable, and quick.",4882
7/9/2026 17:05,10,1,4882
7/9/2026 16:55,10,the technician was very helpful and was professional.  i would implore you to think about giving them a raise,I0EG
7/9/2026 10:00,10,muy amable y cordial,4882
7/7/2026 14:05,10,nathan was very helpful and he made sure everything was done correctly,IE49
7/5/2026 13:20,9,,4888
7/5/2026 12:10,10,,IE49
7/5/2026 11:05,9,,IE49
7/5/2026 9:00,10,"our technician, nathan, was wonderful.  he was prompt, respectful,  and knowledgeable.",IE49
7/3/2026 14:50,10,,I0EG
7/3/2026 14:45,10,,I0EG
7/3/2026 8:45,10,"the technician was professional, knowledgeable, and respectful.",I0EG
7/2/2026 10:30,10,,4882
6/30/2026 18:25,10,,IE49
6/30/2026 16:20,10,"always great techs. helpful, fast, and friendly",4888
6/30/2026 13:25,10,,4882
6/30/2026 11:05,10,"he came, got on his ladder ran my line from the pole, mounted the exterior box to the house drilled a hole from outside to inside and hooked up my wi-fi he did a great job in 45 minutes",4882
6/29/2026 13:50,10,nathan got there fast he knew what he was doing he explained to me my internet was going slow he just good all the way around i felt i had to give him a 10,IE49
6/29/2026 10:10,9,,IE49
6/28/2026 14:10,10,"the technician nathan, was kind and patient with me.  explained what had to be done and did it.  he helped me understand how it all worked.  i appreciate that because i don\u2019t understand all this technology.  very pleased with everything.  thank you!",IE49
6/28/2026 10:05,10,nathan was very knowledgeable and friendly,IE49
6/28/2026 9:15,10,"nathan was 1st, on time, great manners and professional",IE49
6/27/2026 16:45,10,he was extremely friendly and helpful.,4888
6/26/2026 15:55,10,,4882
6/26/2026 10:15,10,"have not been happy with comcast, but the tech that took care of us today was exceptional.",I0EG
6/25/2026 19:10,10,1,4882
6/25/2026 14:05,10,,I0EG
6/25/2026 12:05,10,,4888
6/23/2026 13:55,10,"the technician (cj) was not only knowledable, but also punctual and very courteous and respectful and gave us all the necessary information we needed. cj is the best!!!",I0EG
6/23/2026 13:15,10,because he is a professional and respectful person,4882
6/23/2026 13:10,10,cause your tech nathan was was awesome and made me a very satisfied customer he is a great employee of yours,IE49
6/23/2026 10:25,10,,4882
6/22/2026 12:10,10,,4882
6/22/2026 11:40,10,,4882
6/22/2026 10:55,10,nathan was knowledgeable and fixed issue in timely manner,IE49
6/22/2026 8:25,10,he did a great job and was a well social technician!!!,IE49
